"genotype" "age" "exposure" "counts"
1 11.9618865121414 24.7839998532285 17
2 8.6996803225755 2.49857797054574 12
2 13.0445828006625 0.658244115766138 5
1 16.1931235361793 2.52690761582926 3
2 5.43860777072098 23.3953874731872 1
1 14.2613639040589 8.28207038910205 2
1 8.74501615585183 0.446364357510495 2
1 10.0070210840592 0.121623236007402 3
1 7.50608339442433 4.86929513315779 5
2 13.9094597293691 11.0877832415331 2
2 7.149614271341 1.68569492826149 7
1 9.11033785081768 14.3303115638397 5
1 6.61727655621431 8.42574514406633 2
1 7.46572133697711 3.83481809848404 16
1 12.7649189479839 6.67099588063961 2
2 17.6590598676014 1.25371159752831 14
2 7.48722683728134 1.78694389105117 6
1 6.71125890930208 12.1620277402209 6
2 8.2446642526957 0.0561805708071504 18
2 10.9709536824505 8.46687063532782 14
1 13.1125426922867 14.3663071808126 6
2 13.3332693344311 1.90348533680663 7
1 9.73996929605046 5.7924314120506 8
2 15.2112959643597 3.52343204875893 19
2 5.14264977998357 0.789339346811175 6
2 6.81080317064296 8.10856441802498 7
1 11.792844953785 0.590925184066787 0
2 6.56001117270345 11.546378266105 2
1 9.69865296328462 26.0357059096331 47
2 11.2390163744421 1.06257727136835 33
1 9.50960248026366 2.5225872034207 2
1 9.11971491587157 0.673674023710191 3
2 9.06391092774218 4.45404861340822 6
1 4.96003502707046 2.90768693899736 3
2 9.10975344580521 5.73420199544585 4
2 6.48370712472654 5.52872968816614 6
1 9.44262752359387 19.0755716235119 11
1 6.95042543773822 0.377853272948414 3
1 8.0248405294199 1.14433286711574 0
2 7.66753768683637 16.0494374475422 2
1 12.14372391676 1.23414696892723 3
1 10.1179609711324 7.74036620884246 4
2 10.1211780627282 6.68210687560445 9
1 11.5998960742452 1.89323127735406 4
1 7.561867303817 1.42121109878644 0
2 8.05160987413358 17.3017279795351 3
2 13.0744475451965 6.94066614801896 8
1 10.8868365477576 4.3318149900894 3
1 10.5244239238763 7.96243366743338 10
2 8.99292937172021 21.5290900194416 2
1 2.45215650380064 7.11533122307352 2
2 4.87725920034416 14.413840510893 0
2 12.3834675958106 0.463087203635968 37
1 10.3257867493048 9.73158457274449 2
1 9.55509479373833 6.06360596090014 1
1 3.00778909272841 1.50553046260029 1
1 14.7550420257574 2.47751759365201 16
1 13.5308060746529 4.08610504132613 3
1 14.1081750705981 0.439750726800412 3
2 10.3077422462314 0.169228712042378 9
2 16.1264217252428 6.05217017678028 3
2 12.1442858117634 6.75933698636896 29
1 7.6870644069692 3.13984404783696 4
1 8.5376980841607 15.398343130106 29
2 9.31364074818818 2.63632650487125 56
1 8.4775988321039 3.58329682804437 4
1 11.0015932797872 5.28343953404286 4
2 10.7944341946663 6.48952855707562 1
2 6.04898116176761 2.8971084789373 3
2 9.46390394540643 2.38273065304384 23
1 6.46913049450394 3.39942857855931 1
1 9.5720988468892 3.46595990450537 1
2 13.8597353143379 2.9981163982302 17
1 14.2552132654275 9.88184550735068 6
2 9.37644070499986 2.6627711369656 13
2 7.87969163820541 2.14928286615759 21
1 10.5847900341257 6.60000875571227 6
2 13.5816850898718 10.0499657816709 1
2 10.2069863969616 14.5284932470861 13
1 6.06306831830397 1.73898194683716 3
1 11.0100275233473 4.7848807834946 0
2 10.206787590571 4.91341820897019 3
1 12.3041367830808 0.451243146191254 7
1 8.83305300967064 2.62659568805248 4
1 12.3090564575252 10.3265431984783 0
2 10.6754063188593 2.71336242032495 5
2 14.8093808975001 0.995892263017595 7
2 12.8791326707987 13.8581494142519 6
2 10.9178630614525 1.21044249506667 15
2 8.04083242624691 5.06718011086291 3
2 11.0228761476765 0.657554602127408 24
2 9.27485390544026 8.26988690490735 2
1 9.41179885250481 5.77351175598239 0
2 6.8446014251541 5.50584229619658 7
2 6.23973788047988 1.69879028107971 4
1 9.77567454874836 5.57953934164202 1
2 12.4667172001388 4.47818148929023 7
2 5.3560459687341 1.99705379549414 10
1 12.3417022257457 6.93744818637979 4
2 12.0596253313562 12.0710228596738 7
1 4.99930357849655 1.65360401419121 5
1 7.91492774800805 13.1327705172108 16
1 5.89431100896528 3.15721504831548 3
2 14.9908765464741 22.7399196649406 0
1 6.88541522479988 2.32818477321416 0
1 7.95883136854223 12.6067467120694 11
1 7.92285656873545 8.99173843632352 2
1 8.45791961629179 1.38220108114183 0
1 13.195689992512 6.64849960224188 2
1 11.4400512413398 3.4592755464837 0
2 9.47116150762671 0.852096767630428 7
1 8.98613226331918 10.4473520187167 14
1 6.4499315306667 3.53973446672578 2
2 6.11662140065847 6.53235833605236 2
1 11.8647326014817 0.380955764558166 1
1 14.7926239527589 1.12768205814064 2
2 9.38090606511441 4.52292487004256 4
2 19.6605245430382 5.99764074643558 4
2 14.2255697983042 1.52317443862557 5
2 7.53710258887041 3.66845592835403 2
2 15.1367281361603 7.99342114436341 4
1 5.84265880491766 2.1854898892343 10
